Accession	BioSampleAccession	BioSampleName	SequenceLength	SequenceDefinition
CP019182.1	SAMN01823716	Salmonella enterica subsp. enterica serovar Inverness str. ATCC 10720 plasmid pATCC10720, complete sequence.	124201	Salmonella enterica subsp. enterica serovar Inverness str. ATCC 10720 plasmid pATCC10720, complete sequence.
CP019183.1	SAMN01823720	Salmonella enterica subsp. enterica serovar Mbandaka str. ATCC 51958, complete genome.	4905181	Salmonella enterica subsp. enterica serovar Mbandaka str. ATCC 51958, complete genome.
CP019184.1	SAMN01823721	Salmonella enterica subsp. enterica serovar Minnesota str. ATCC 49284, complete genome.	4592393	Salmonella enterica subsp. enterica serovar Minnesota str. ATCC 49284, complete genome.
CP019185.1	SAMN01823726	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 11511, complete genome.	4580689	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 11511, complete genome.
CP019186.1	SAMN00754430	Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729, complete sequence.	4482117	Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729, complete sequence.
CP019188.1	SAMN00754430	Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 plasmid pATCC10729_02, complete sequence.	95279	Salmonella enterica subsp. enterica serovar Pomona str. ATCC 10729 plasmid pATCC10729_02, complete sequence.
CP019189.1	SAMN01805328	Salmonella enterica subsp. enterica serovar Poona str. ATCC BAA-1673, complete sequence.	4876720	Salmonella enterica subsp. enterica serovar Poona str. ATCC BAA-1673, complete sequence.
CP019192.1	SAMN01823732	Salmonella enterica subsp. enterica serovar Rubislaw str. ATCC 10717, complete sequence.	4572929	Salmonella enterica subsp. enterica serovar Rubislaw str. ATCC 10717, complete sequence.
CP019193.1	SAMN01823732	Salmonella enterica subsp. enterica serovar Rubislaw str. ATCC 10717 plasmid pATCC10717, complete sequence.	196866	Salmonella enterica subsp. enterica serovar Rubislaw str. ATCC 10717 plasmid pATCC10717, complete sequence.
CP019196.1	SAMN06192066	Salmonella enterica subsp. enterica serovar Thompson strain CFSAN000738, complete genome.	4710704	Salmonella enterica subsp. enterica serovar Thompson strain CFSAN000738, complete genome.
CP019197.1	SAMN01805331	Salmonella enterica subsp. enterica serovar Oranienburg str. 0250 strain CFSAN001285, complete genome.	4648879	Salmonella enterica subsp. enterica serovar Oranienburg str. 0250 strain CFSAN001285, complete genome.
CP019198.1	SAMN01805332	Salmonella enterica subsp. enterica serovar Muenster str. 0315 strain 315, complete sequence.	4879583	Salmonella enterica subsp. enterica serovar Muenster str. 0315 strain 315, complete sequence.
CP019199.1	SAMN01805332	Salmonella enterica subsp. enterica serovar Muenster str. 0315 strain 315 plasmid pCFSAN001297_02, complete sequence.	59062	Salmonella enterica subsp. enterica serovar Muenster str. 0315 strain 315 plasmid pCFSAN001297_02, complete sequence.
CP019201.1	SAMN01813420	Salmonella enterica subsp. enterica serovar Muenster str. 420 strain CFSAN001301, complete genome.	4756014	Salmonella enterica subsp. enterica serovar Muenster str. 420 strain CFSAN001301, complete genome.
CP019202.1	SAMN03463818	Salmonella enterica subsp. enterica serovar Infantis strain CFSAN003307, complete sequence.	4537888	Salmonella enterica subsp. enterica serovar Infantis strain CFSAN003307, complete sequence.
CP019203.1	SAMN03463818	Salmonella enterica subsp. enterica serovar Infantis strain CFSAN003307 plasmid pCFSAN003307, complete sequence.	178238	Salmonella enterica subsp. enterica serovar Infantis strain CFSAN003307 plasmid pCFSAN003307, complete sequence.
CP019204.1	SAMN05915913	Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN004173, complete sequence.	4777591	Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN004173, complete sequence.
CP019205.1	SAMN05915913	Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN004173 plasmid pCFSAN004173, complete sequence.	81408	Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN004173 plasmid pCFSAN004173, complete sequence.
CP019206.1	SAMN05915912	Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN004174, complete sequence.	4777591	Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN004174, complete sequence.
CP019207.1	SAMN05915912	Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN004174 plasmid pCFSAN004174, complete sequence.	81410	Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN004174 plasmid pCFSAN004174, complete sequence.
CP019383.1	SAMN06161238	Salmonella enterica subsp. enterica serovar Typhimurium strain FORC50 chromosome, complete genome.	4673894	Salmonella enterica subsp. enterica serovar Typhimurium strain FORC50 chromosome, complete genome.
CP019403.1	SAMN04160810	Salmonella enterica subsp. enterica serovar Apapa str. SA20060561 chromosome, complete genome.	4801658	Salmonella enterica subsp. enterica serovar Apapa str. SA20060561 chromosome, complete genome.
CP019404.1	SAMN04160803	Salmonella enterica subsp. enterica serovar Bardo strain SA20113257 chromosome, complete genome.	4849139	Salmonella enterica subsp. enterica serovar Bardo strain SA20113257 chromosome, complete genome.
CP019405.1	SAMN04160814	Salmonella enterica subsp. enterica serovar Bergen str. ST350 chromosome, complete genome.	4801835	Salmonella enterica subsp. enterica serovar Bergen str. ST350 chromosome, complete genome.
CP019406.1	SAMN04160822	Salmonella enterica subsp. enterica serovar Blegdam str. S-1824 chromosome, complete genome.	4693979	Salmonella enterica subsp. enterica serovar Blegdam str. S-1824 chromosome, complete genome.
CP019407.1	SAMN04160805	Salmonella enterica subsp. enterica serovar Borreze str. SA20041063 chromosome, complete genome.	4777558	Salmonella enterica subsp. enterica serovar Borreze str. SA20041063 chromosome, complete genome.
CP019408.1	SAMN04160812	Salmonella enterica subsp. enterica serovar Crossness str. 1422-74 chromosome, complete genome.	4847468	Salmonella enterica subsp. enterica serovar Crossness str. 1422-74 chromosome, complete genome.
CP019409.1	SAMN04160823	Salmonella enterica subsp. enterica serovar Djakarta str. S-1087 chromosome, complete genome.	4668861	Salmonella enterica subsp. enterica serovar Djakarta str. S-1087 chromosome, complete genome.
CP019410.1	SAMN04160821	Salmonella enterica subsp. enterica serovar Hillingdon str. N1529-D3 chromosome, complete genome.	4618056	Salmonella enterica subsp. enterica serovar Hillingdon str. N1529-D3 chromosome, complete genome.
CP019411.1	SAMN04160815	Salmonella enterica subsp. enterica serovar Johannesburg str. ST203 chromosome, complete genome.	4651794	Salmonella enterica subsp. enterica serovar Johannesburg str. ST203 chromosome, complete genome.
CP019412.1	SAMN04160824	Salmonella enterica subsp. enterica serovar Koessen str. S-1501 chromosome, complete genome.	4566169	Salmonella enterica subsp. enterica serovar Koessen str. S-1501 chromosome, complete genome.
CP019413.1	SAMN04160800	Salmonella enterica subsp. enterica serovar Krefeld str. SA20030536 chromosome, complete genome.	4942273	Salmonella enterica subsp. enterica serovar Krefeld str. SA20030536 chromosome, complete genome.
CP019414.1	SAMN04160817	Salmonella enterica subsp. enterica serovar Manchester str. ST278 chromosome, complete genome.	4532753	Salmonella enterica subsp. enterica serovar Manchester str. ST278 chromosome, complete genome.
CP019415.1	SAMN04160826	Salmonella enterica subsp. enterica serovar Moscow str. S-1843 chromosome, complete genome.	4690402	Salmonella enterica subsp. enterica serovar Moscow str. S-1843 chromosome, complete genome.
CP019416.1	SAMN04160827	Salmonella enterica subsp. enterica serovar Nitra strain S-1687 chromosome, complete genome.	4691807	Salmonella enterica subsp. enterica serovar Nitra strain S-1687 chromosome, complete genome.
CP019417.1	SAMN04160802	Salmonella enterica subsp. enterica serovar Wandsworth str. SA20092095 chromosome, complete genome.	4916040	Salmonella enterica subsp. enterica serovar Wandsworth str. SA20092095 chromosome, complete genome.
CP019418.1	SAMN04160829	Salmonella enterica subsp. enterica serovar Yovokome str. S-1850 chromosome, complete genome.	4640929	Salmonella enterica subsp. enterica serovar Yovokome str. S-1850 chromosome, complete genome.
CP019442.1	SAMN06185755	Salmonella enterica subsp. enterica serovar Typhimurium strain 81741 chromosome, complete genome.	4974856	Salmonella enterica subsp. enterica serovar Typhimurium strain 81741 chromosome, complete genome.
CP019443.1	SAMN06185755	Salmonella enterica subsp. enterica serovar Typhimurium strain 81741 plasmid unnamed1, complete sequence.	233802	Salmonella enterica subsp. enterica serovar Typhimurium strain 81741 plasmid unnamed1, complete sequence.
CP019647.1	SAMN06309456	Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,5,12:i:- strain TW-Stm6 plasmid pSTM6-275, complete sequence.	275801	Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,5,12:i:- strain TW-Stm6 plasmid pSTM6-275, complete sequence.
CP019649.1	SAMN06309456	Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,5,12:i:- strain TW-Stm6 chromosome, complete genome.	4999862	Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,5,12:i:- strain TW-Stm6 chromosome, complete genome.
CP019681.1	SAMN06311389	Salmonella enterica subsp. enterica serovar Enteritidis strain SE86, complete genome.	4685718	Salmonella enterica subsp. enterica serovar Enteritidis strain SE86, complete genome.
CP020101.1	SAMN06560104	Salmonella enterica subsp. enterica serovar Heidelberg strain UFPRLABMOR1 chromosome, complete genome.	4760321	Salmonella enterica subsp. enterica serovar Heidelberg strain UFPRLABMOR1 chromosome, complete genome.
CP020492.1	SAMN06645218	Salmonella enterica subsp. enterica strain 08-00436, complete sequence.	4751926	Salmonella enterica subsp. enterica strain 08-00436, complete sequence.
CP020493.1	SAMN06645218	Salmonella enterica subsp. enterica strain 08-00436 plasmid pSE08-00436-1, complete sequence.	264914	Salmonella enterica subsp. enterica strain 08-00436 plasmid pSE08-00436-1, complete sequence.
CP020494.1	SAMN06645218	Salmonella enterica subsp. enterica strain 08-00436 plasmid pSE08-00436-2, complete sequence.	54067	Salmonella enterica subsp. enterica strain 08-00436 plasmid pSE08-00436-2, complete sequence.
CP020752.1	SAMN02716886	Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2009K-0792 chromosome, complete genome.	4597370	Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2009K-0792 chromosome, complete genome.
CP020823.1	SAMN03702837	Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN033541 chromosome, complete genome.	4679064	Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN033541 chromosome, complete genome.
CP020824.1	SAMN03702837	Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN033541 plasmid pCFSAN033541, complete sequence.	59372	Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN033541 plasmid pCFSAN033541, complete sequence.
CP020825.1	SAMN03702839	Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN033543 chromosome, complete genome.	4679401	Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN033543 chromosome, complete genome.
CP020826.1	SAMN03702839	Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN033543 plasmid pCFSAN033543, complete sequence.	59363	Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN033543 plasmid pCFSAN033543, complete sequence.
CP020912.1	SAMN02716890	Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2010K-0257 chromosome, complete genome.	4694308	Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2010K-0257 chromosome, complete genome.
CP020913.1	SAMN02716890	Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2010K-0257 plasmid pSMO-2010K-0257, complete sequence.	119867	Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2010K-0257 plasmid pSMO-2010K-0257, complete sequence.
CP020922.1	SAMN06646159	Salmonella enterica subsp. enterica strain 16A242 chromosome, complete genome.	4882599	Salmonella enterica subsp. enterica strain 16A242 chromosome, complete genome.
CP020924.1	SAMN06646159	Salmonella enterica subsp. enterica strain 16A242 plasmid unnamed2, complete sequence.	65419	Salmonella enterica subsp. enterica strain 16A242 plasmid unnamed2, complete sequence.
CP021909.1	SAMN06622672	Salmonella enterica subsp. enterica strain ST1120 chromosome, complete genome.	4855001	Salmonella enterica subsp. enterica strain ST1120 chromosome, complete genome.
CP021910.1	SAMN06622672	Salmonella enterica subsp. enterica strain ST1120 plasmid pST1120, complete sequence.	6863	Salmonella enterica subsp. enterica strain ST1120 plasmid pST1120, complete sequence.
CP022003.1	SAMN05414452	Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN051873 chromosome, complete genome.	4679123	Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN051873 chromosome, complete genome.
CP022015.1	SAMN04160811	Salmonella enterica subsp. enterica serovar India str. SA20085604 chromosome, complete genome.	5395280	Salmonella enterica subsp. enterica serovar India str. SA20085604 chromosome, complete genome.
CP022016.1	SAMN04160811	Salmonella enterica subsp. enterica serovar India str. SA20085604 plasmid unnamed1, complete sequence.	473456	Salmonella enterica subsp. enterica serovar India str. SA20085604 plasmid unnamed1, complete sequence.
CP022019.1	SAMN04160828	Salmonella enterica subsp. enterica serovar Quebec str. S-1267 chromosome, complete genome.	4626699	Salmonella enterica subsp. enterica serovar Quebec str. S-1267 chromosome, complete genome.
CP022034.1	SAMN04160808	Salmonella enterica subsp. enterica serovar Onderstepoort str. SA20060086 chromosome, complete genome.	4774926	Salmonella enterica subsp. enterica serovar Onderstepoort str. SA20060086 chromosome, complete genome.
CP022062.2	SAMN06173325	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain FDAARGOS_312 chromosome, complete genome.	4863143	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain FDAARGOS_312 chromosome, complete genome.
CP022069.2	SAMN06173326	Salmonella enterica subsp. enterica serovar Hadar strain FDAARGOS_313 chromosome, complete genome.	4916780	Salmonella enterica subsp. enterica serovar Hadar strain FDAARGOS_313 chromosome, complete genome.
CP022070.2	SAMN06173334	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome, complete genome.	4884508	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome, complete genome.
CP022116.1	SAMN04160801	Salmonella enterica subsp. enterica serovar Ouakam str. SA20034636 chromosome, complete genome.	4874915	Salmonella enterica subsp. enterica serovar Ouakam str. SA20034636 chromosome, complete genome.
CP022117.1	SAMN04160825	Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643 chromosome, complete genome.	4822139	Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643 chromosome, complete genome.
CP022135.1	SAMN04160806	Salmonella enterica subsp. diarizonae serovar 65:c:z str. SA20044251 chromosome, complete genome.	4913978	Salmonella enterica subsp. diarizonae serovar 65:c:z str. SA20044251 chromosome, complete genome.
CP022138.1	SAMN04160804	Salmonella enterica subsp. enterica serovar Waycross strain SA20041608 chromosome, complete genome.	4812886	Salmonella enterica subsp. enterica serovar Waycross strain SA20041608 chromosome, complete genome.
CP022139.1	SAMN04160813	Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K chromosome, complete genome.	4859044	Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K chromosome, complete genome.
CP022142.1	SAMN04160830	Salmonella enterica subsp. diarizonae serovar 50:k:z str. MZ0080 chromosome, complete genome.	5076950	Salmonella enterica subsp. diarizonae serovar 50:k:z str. MZ0080 chromosome, complete genome.
CP022168.1	SAMN07267217	Salmonella enterica subsp. enterica serovar Typhimurium strain WW012 chromosome, complete genome.	4991167	Salmonella enterica subsp. enterica serovar Typhimurium strain WW012 chromosome, complete genome.
CP022169.1	SAMN07267217	Salmonella enterica subsp. enterica serovar Typhimurium strain WW012 plasmid pWW012, complete sequence.	151609	Salmonella enterica subsp. enterica serovar Typhimurium strain WW012 plasmid pWW012, complete sequence.
CP022450.1	SAMN07344413	Salmonella enterica subsp. enterica serovar Indiana strain D90 chromosome, complete genome.	4779514	Salmonella enterica subsp. enterica serovar Indiana strain D90 chromosome, complete genome.
CP022467.1	SAMN04160816	Salmonella enterica subsp. salamae serovar 57:z29:z42 strain ST114 chromosome, complete genome.	4719375	Salmonella enterica subsp. salamae serovar 57:z29:z42 strain ST114 chromosome, complete genome.
CP022489.1	SAMN06044996	Salmonella enterica subsp. enterica serovar Mbandaka strain SA20026234 chromosome, complete genome.	4796292	Salmonella enterica subsp. enterica serovar Mbandaka strain SA20026234 chromosome, complete genome.
CP022490.1	SAMN06044997	Salmonella enterica subsp. enterica serovar Braenderup strain SA20026289 chromosome, complete genome.	4734880	Salmonella enterica subsp. enterica serovar Braenderup strain SA20026289 chromosome, complete genome.
CP022491.1	SAMN06045033	Salmonella enterica subsp. enterica serovar Saintpaul strain SA20031783 chromosome, complete genome.	4775303	Salmonella enterica subsp. enterica serovar Saintpaul strain SA20031783 chromosome, complete genome.
CP022494.1	SAMN06045055	Salmonella enterica subsp. enterica serovar Derby strain SA20035215 chromosome, complete genome.	4850334	Salmonella enterica subsp. enterica serovar Derby strain SA20035215 chromosome, complete genome.
CP022497.1	SAMN06045126	Salmonella enterica subsp. enterica serovar Manhattan strain SA20084699 chromosome, complete genome.	4732484	Salmonella enterica subsp. enterica serovar Manhattan strain SA20084699 chromosome, complete genome.
CP022500.1	SAMN03485833	Salmonella enterica subsp. enterica serovar Kentucky str. SA20030505 chromosome, complete genome.	4782363	Salmonella enterica subsp. enterica serovar Kentucky str. SA20030505 chromosome, complete genome.
CP022503.1	SAMN03470763	Salmonella enterica subsp. enterica serovar Hvittingfoss str. SA20014981 chromosome, complete genome.	4940239	Salmonella enterica subsp. enterica serovar Hvittingfoss str. SA20014981 chromosome, complete genome.
CP022663.1	SAMN07334225	Salmonella enterica subsp. enterica strain RM11065 chromosome, complete genome.	4991140	Salmonella enterica subsp. enterica strain RM11065 chromosome, complete genome.
CP023166.1	SAMN07594151	Salmonella enterica subsp. enterica serovar Saintpaul strain SGB23 chromosome, complete genome.	4792385	Salmonella enterica subsp. enterica serovar Saintpaul strain SGB23 chromosome, complete genome.
CP023167.1	SAMN07594151	Salmonella enterica subsp. enterica serovar Saintpaul strain SGB23 plasmid pSGB23, complete sequence.	254041	Salmonella enterica subsp. enterica serovar Saintpaul strain SGB23 plasmid pSGB23, complete sequence.
CP023345.1	SAMN07633032	Salmonella enterica subsp. diarizonae strain HZS154 chromosome, complete genome.	5087369	Salmonella enterica subsp. diarizonae strain HZS154 chromosome, complete genome.
CP023436.1	SAMN07604329	Salmonella enterica strain FORC_074 chromosome, complete genome.	4682412	Salmonella enterica strain FORC_074 chromosome, complete genome.
CP023437.1	SAMN07604329	Salmonella enterica strain FORC_074 plasmid pFORC74_2, complete sequence.	60923	Salmonella enterica strain FORC_074 plasmid pFORC74_2, complete sequence.
CP023438.1	SAMN07604329	Salmonella enterica strain FORC_074 plasmid pFORC74_3, complete sequence.	51931	Salmonella enterica strain FORC_074 plasmid pFORC74_3, complete sequence.
CP023468.1	SAMN07663062	Salmonella enterica subsp. enterica strain BAA-1586 chromosome, complete genome.	4639823	Salmonella enterica subsp. enterica strain BAA-1586 chromosome, complete genome.
CP023469.1	SAMN07663062	Salmonella enterica subsp. enterica strain BAA-1586 plasmid pSalMiami, complete sequence.	94044	Salmonella enterica subsp. enterica strain BAA-1586 plasmid pSalMiami, complete sequence.
CP023475.1	SAMN07580859	Salmonella enterica subsp. enterica serovar Enteritidis strain FORC_075 chromosome, complete genome.	4707598	Salmonella enterica subsp. enterica serovar Enteritidis strain FORC_075 chromosome, complete genome.
CP023476.1	SAMN07580859	Salmonella enterica subsp. enterica serovar Enteritidis strain FORC_075 plasmid pFORC75_2, complete sequence.	34661	Salmonella enterica subsp. enterica serovar Enteritidis strain FORC_075 plasmid pFORC75_2, complete sequence.
CP023508.1	SAMN07312412	Salmonella enterica subsp. enterica serovar Paratyphi A strain FDAARGOS_368 chromosome, complete genome.	4588003	Salmonella enterica subsp. enterica serovar Paratyphi A strain FDAARGOS_368 chromosome, complete genome.
CP023512.1	SAMN07312417	Salmonella enterica subsp. enterica serovar Saintpaul strain FDAARGOS_373 chromosome, complete genome.	4838098	Salmonella enterica subsp. enterica serovar Saintpaul strain FDAARGOS_373 chromosome, complete genome.
CP023975.1	SAMN07507058	Salmonella enterica subsp. enterica serovar Typhi strain Ty21a chromosome, complete genome.	4791341	Salmonella enterica subsp. enterica serovar Typhi strain Ty21a chromosome, complete genome.
CP024165.1	SAMN07795410	Salmonella enterica subsp. enterica serovar Gaminara strain CFSAN070644 chromosome, complete genome.	4801841	Salmonella enterica subsp. enterica serovar Gaminara strain CFSAN070644 chromosome, complete genome.
CP024168.1	SAMN07795414	Salmonella enterica subsp. enterica serovar Tennessee strain CFSAN070643 chromosome, complete genome.	4813545	Salmonella enterica subsp. enterica serovar Tennessee strain CFSAN070643 chromosome, complete genome.
CP025230.1	SAMN02716894	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1924 chromosome, complete genome.	4863437	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1924 chromosome, complete genome.
CP025232.1	SAMN02716895	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1925 chromosome, complete genome.	4774216	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1925 chromosome, complete genome.
CP025234.1	SAMN02716896	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1926 chromosome, complete genome.	4830646	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1926 chromosome, complete genome.
CP025237.1	SAMN02716897	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1928 chromosome, complete genome.	4830765	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1928 chromosome, complete genome.
CP025241.1	SAMN02716898	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1929 chromosome, complete genome.	4859678	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1929 chromosome, complete genome.
CP025243.1	SAMN02716905	Salmonella enterica subsp. enterica serovar Newport str. CDC 2012K-0663 chromosome, complete genome.	4928771	Salmonella enterica subsp. enterica serovar Newport str. CDC 2012K-0663 chromosome, complete genome.
CP025246.1	SAMN02716906	Salmonella enterica subsp. enterica serovar Newport str. CDC 2012K-0938 chromosome, complete genome.	4810141	Salmonella enterica subsp. enterica serovar Newport str. CDC 2012K-0938 chromosome, complete genome.
CP025248.1	SAMN02716901	Salmonella enterica subsp. enterica serovar Newport str. CDC 2009K-1331 chromosome, complete genome.	4884276	Salmonella enterica subsp. enterica serovar Newport str. CDC 2009K-1331 chromosome, complete genome.
CP025273.1	SAMN02716893	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1923 chromosome, complete genome.	4899128	Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1923 chromosome, complete genome.
CP025276.1	SAMN08150419	Salmonella enterica subsp. enterica serovar Johannesburg strain USDA-ARS-USMARC-60984 chromosome, complete genome.	4622297	Salmonella enterica subsp. enterica serovar Johannesburg strain USDA-ARS-USMARC-60984 chromosome, complete genome.
CP025278.1	SAMN02716883	Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1913 chromosome, complete genome.	4985589	Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1913 chromosome, complete genome.
CP025280.1	SAMN08150418	Salmonella enterica subsp. enterica serovar Brandenburg strain USDA-ARS-USMARC-60983 chromosome, complete genome.	4662027	Salmonella enterica subsp. enterica serovar Brandenburg strain USDA-ARS-USMARC-60983 chromosome, complete genome.
CP025445.1	SAMN08177984	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76332 chromosome, complete genome.	4763928	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76332 chromosome, complete genome.
CP025446.1	SAMN08177985	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76333 chromosome, complete genome.	4794633	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76333 chromosome, complete genome.
CP025447.1	SAMN08178024	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76335 chromosome, complete genome.	4762730	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76335 chromosome, complete genome.
CP025448.1	SAMN08178026	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76336 chromosome, complete genome.	4762736	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76336 chromosome, complete genome.
CP025449.1	SAMN08178051	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76337 chromosome, complete genome.	4763925	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76337 chromosome, complete genome.
CP025450.1	SAMN08178053	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76338 chromosome, complete genome.	4763902	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76338 chromosome, complete genome.
CP025451.1	SAMN08178170	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76339 chromosome, complete genome.	4763929	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76339 chromosome, complete genome.
CP025452.1	SAMN08178172	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76340 chromosome, complete genome.	4763930	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76340 chromosome, complete genome.
CP025453.1	SAMN08178174	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76341 chromosome, complete genome.	4841410	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76341 chromosome, complete genome.
CP025454.1	SAMN08178012	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76334 chromosome, complete genome.	4762732	Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76334 chromosome, complete genome.
CP025553.1	SAMN08125532	Salmonella enterica subsp. enterica serovar Enteritidis strain ATCC BAA-708 plasmid pPIR00558, complete sequence.	59331	Salmonella enterica subsp. enterica serovar Enteritidis strain ATCC BAA-708 plasmid pPIR00558, complete sequence.
CP025554.1	SAMN08125532	Salmonella enterica subsp. enterica serovar Enteritidis strain ATCC BAA-708 chromosome, complete genome.	4678516	Salmonella enterica subsp. enterica serovar Enteritidis strain ATCC BAA-708 chromosome, complete genome.
CP025555.1	SAMN08125531	Salmonella enterica subsp. enterica serovar Typhimurium strain PIR00538 chromosome, complete genome.	4870262	Salmonella enterica subsp. enterica serovar Typhimurium strain PIR00538 chromosome, complete genome.
CP025556.1	SAMN08125531	Salmonella enterica subsp. enterica serovar Typhimurium strain PIR00538 plasmid pPIR00538, complete sequence.	93832	Salmonella enterica subsp. enterica serovar Typhimurium strain PIR00538 plasmid pPIR00538, complete sequence.
CP025559.1	SAMN08125525	Salmonella enterica subsp. enterica serovar Enteritidis strain PIR00532 chromosome, complete genome.	4685973	Salmonella enterica subsp. enterica serovar Enteritidis strain PIR00532 chromosome, complete genome.
CP025736.1	SAMN08277293	Salmonella enterica subsp. enterica serovar Typhimurium strain FORC_079 chromosome, complete genome.	4867164	Salmonella enterica subsp. enterica serovar Typhimurium strain FORC_079 chromosome, complete genome.
CP025745.1	SAMN08272061	Salmonella enterica strain MFDS1004024 chromosome, complete genome.	4742945	Salmonella enterica strain MFDS1004024 chromosome, complete genome.
CP026052.1	SAMN02934521	Salmonella enterica strain FDAARGOS_70 chromosome, complete genome.	4679420	Salmonella enterica strain FDAARGOS_70 chromosome, complete genome.
CP026569.1	SAMN08323710	Salmonella enterica strain MFDS1004839 chromosome, complete genome.	4679649	Salmonella enterica strain MFDS1004839 chromosome, complete genome.
CP026570.1	SAMN08323710	Salmonella enterica strain MFDS1004839 plasmid pSE1004839, complete sequence.	96994	Salmonella enterica strain MFDS1004839 plasmid pSE1004839, complete sequence.
