accession	seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
CP087543	ENA|CP087543|CP087543.1|provirus_2869356_2920207	50852	Provirus	2869356-2920207	59	11	0.9707	NA	23	68.0619	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087543	ENA|CP087543|CP087543.1|provirus_2032851_2041206	8356	Provirus	2032851-2041206	13	11	0.9531	NA	3	12.5766	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP087545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP087546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP087547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP087558	ENA|CP087558|CP087558.1|provirus_2790727_2836813	46087	Provirus	2790727-2836813	54	11	0.9765	NA	20	65.5484	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087558	ENA|CP087558|CP087558.1|provirus_1957595_1964553	6959	Provirus	1957595-1964553	12	11	0.9646	NA	3	12.5766	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087558	ENA|CP087558|CP087558.1|provirus_4295073_4316142	21070	Provirus	4295073-4316142	25	11	0.9628	NA	11	28.2780	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087645	ENA|CP087645|CP087645.1|provirus_1430640_1473659	43020	Provirus	1430640-1473659	53	11	0.9797	NA	10	69.4698	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087645	ENA|CP087645|CP087645.1|provirus_3076913_3118043	41131	Provirus	3076913-3118043	61	11	0.9790	NA	14	79.4329	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087645	ENA|CP087645|CP087645.1|provirus_1237170_1312191	75022	Provirus	1237170-1312191	102	11	0.9706	NA	41	116.1871	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087645	ENA|CP087645|CP087645.1|provirus_3671369_3713659	42291	Provirus	3671369-3713659	52	11	0.9697	NA	23	53.7357	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087645	ENA|CP087645|CP087645.1|provirus_3344462_3399618	55157	Provirus	3344462-3399618	56	11	0.9683	NA	17	60.3119	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087645	ENA|CP087645|CP087645.1|provirus_469833_485936	16104	Provirus	469833-485936	25	11	0.9662	NA	7	22.6027	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087645	ENA|CP087645|CP087645.1|provirus_3162002_3183882	21881	Provirus	3162002-3183882	36	11	0.9545	NA	6	33.7369	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP087647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP087648	ENA|CP087648|CP087648.1	56365	No terminal repeats	NA	58	11	0.9725	NA	13	55.4266	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP087649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP087650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088126	ENA|CP088126|CP088126.1|provirus_3120937_3157810	36874	Provirus	3120937-3157810	49	11	0.9722	NA	13	55.5155	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088126	ENA|CP088126|CP088126.1|provirus_1793746_1808764	15019	Provirus	1793746-1808764	24	11	0.9715	NA	3	20.5955	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088126	ENA|CP088126|CP088126.1|provirus_3450691_3490738	40048	Provirus	3450691-3490738	47	11	0.9698	NA	23	53.1397	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088126	ENA|CP088126|CP088126.1|provirus_465521_481624	16104	Provirus	465521-481624	25	11	0.9662	NA	7	22.6027	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088134	ENA|CP088134|CP088134.1|provirus_931441_971638	40198	Provirus	931441-971638	58	11	0.9814	NA	8	69.6802	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088134	ENA|CP088134|CP088134.1|provirus_3308521_3353525	45005	Provirus	3308521-3353525	63	11	0.9769	NA	17	80.7417	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088134	ENA|CP088134|CP088134.1|provirus_220944_267004	46061	Provirus	220944-267004	60	11	0.9746	NA	24	71.0563	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088134	ENA|CP088134|CP088134.1|provirus_3_41399	41397	Provirus	3-41399	51	11	0.9712	NA	18	63.2271	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088134	ENA|CP088134|CP088134.1|provirus_1764847_1785189	20343	Provirus	1764847-1785189	26	11	0.9583	NA	11	30.0267	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088198	ENA|CP088198|CP088198.1|provirus_1099978_1113362	13385	Provirus	1099978-1113362	17	11	0.9009	NA	5	17.5630	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088200	ENA|CP088200|CP088200.1|provirus_1937951_1982247	44297	Provirus	1937951-1982247	65	11	0.9732	NA	15	84.6837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088200	ENA|CP088200|CP088200.1|provirus_2391088_2430664	39577	Provirus	2391088-2430664	61	11	0.9683	NA	15	72.2788	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088200	ENA|CP088200|CP088200.1|provirus_1792680_1829886	37207	Provirus	1792680-1829886	53	11	0.9618	NA	11	55.4650	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088200	ENA|CP088200|CP088200.1|provirus_1198054_1211438	13385	Provirus	1198054-1211438	17	11	0.9027	NA	5	17.5630	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088221	ENA|CP088221|CP088221.1|provirus_2728579_2756886	28308	Provirus	2728579-2756886	35	11	0.9801	NA	18	46.5652	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088221	ENA|CP088221|CP088221.1|provirus_3416390_3467815	51426	Provirus	3416390-3467815	67	11	0.9766	NA	18	78.2973	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088221	ENA|CP088221|CP088221.1|provirus_1152058_1182356	30299	Provirus	1152058-1182356	37	11	0.9724	NA	9	38.3783	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088221	ENA|CP088221|CP088221.1|provirus_4188486_4203852	15367	Provirus	4188486-4203852	23	11	0.9600	NA	8	19.9257	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088221	ENA|CP088221|CP088221.1|provirus_2372596_2420197	47602	Provirus	2372596-2420197	59	11	0.9559	NA	11	43.5133	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP088222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP088228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089021	ENA|CP089021|CP089021.1|provirus_1300817_1342478	41662	Provirus	1300817-1342478	57	11	0.9771	NA	9	72.0316	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089021	ENA|CP089021|CP089021.1|provirus_1566510_1626133	59624	Provirus	1566510-1626133	79	11	0.9747	NA	19	89.9338	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089021	ENA|CP089021|CP089021.1|provirus_3299674_3354792	55119	Provirus	3299674-3354792	55	11	0.9718	NA	17	62.3313	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089061	ENA|CP089061|CP089061.2|provirus_5269619_5310161	40543	Provirus	5269619-5310161	46	11	0.9635	NA	9	52.6431	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089061	ENA|CP089061|CP089061.2|provirus_1857690_1868901	11212	Provirus	1857690-1868901	14	11	0.9560	NA	1	12.9915	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
CP089061	ENA|CP089061|CP089061.2|provirus_3586954_3617601	30648	Provirus	3586954-3617601	39	11	0.9318	NA	21	49.1773	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089148	ENA|CP089148|CP089148.1|provirus_3158756_3199386	40631	Provirus	3158756-3199386	67	11	0.9701	NA	12	61.9104	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089148	ENA|CP089148|CP089148.1|provirus_154394_190589	36196	Provirus	154394-190589	50	11	0.9654	NA	13	39.2584	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089148	ENA|CP089148|CP089148.1|provirus_665965_702785	36821	Provirus	665965-702785	56	11	0.9626	NA	11	48.7482	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089148	ENA|CP089148|CP089148.1|provirus_2683975_2721395	37421	Provirus	2683975-2721395	56	11	0.9513	NA	10	46.2709	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089148	ENA|CP089148|CP089148.1|provirus_2792384_2834384	42001	Provirus	2792384-2834384	64	11	0.9485	NA	11	45.9332	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089148	ENA|CP089148|CP089148.1|provirus_1367253_1393886	26634	Provirus	1367253-1393886	36	11	0.9439	NA	16	42.4995	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089148	ENA|CP089148|CP089148.1|provirus_2114644_2243729	129086	Provirus	2114644-2243729	179	11	0.9260	NA	10	134.8011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089165	ENA|CP089165|CP089165.1|provirus_1318472_1361110	42639	Provirus	1318472-1361110	66	11	0.9822	NA	11	95.6506	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089165	ENA|CP089165|CP089165.1|provirus_139663_181789	42127	Provirus	139663-181789	64	11	0.9818	NA	12	95.4803	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089167	ENA|CP089167|CP089167.1|provirus_1127627_1134298	6672	Provirus	1127627-1134298	13	11	0.9702	NA	6	15.5173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089168	ENA|CP089168|CP089168.1|provirus_1531205_1569735	38531	Provirus	1531205-1569735	57	11	0.9540	NA	19	48.2076	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089171	ENA|CP089171|CP089171.1|provirus_1605628_1640846	35219	Provirus	1605628-1640846	56	11	0.9767	NA	13	59.4467	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089171	ENA|CP089171|CP089171.1|provirus_1774838_1798710	23873	Provirus	1774838-1798710	33	11	0.9702	NA	11	39.8550	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089171	ENA|CP089171|CP089171.1|provirus_1087417_1098564	11148	Provirus	1087417-1098564	15	11	0.9646	NA	8	19.4058	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089172	ENA|CP089172|CP089172.1|provirus_1506505_1554754	48250	Provirus	1506505-1554754	81	11	0.9651	NA	20	75.1211	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089172	ENA|CP089172|CP089172.1|provirus_1113868_1124069	10202	Provirus	1113868-1124069	15	11	0.9145	NA	8	17.0111	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089172	ENA|CP089172|CP089172.1|provirus_1369556_1397274	27719	Provirus	1369556-1397274	43	11	0.9056	NA	6	32.5209	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
CP089173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089174	ENA|CP089174|CP089174.1|provirus_1897641_1935464	37824	Provirus	1897641-1935464	57	11	0.9724	NA	15	74.2377	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089174	ENA|CP089174|CP089174.1|provirus_1406568_1425431	18864	Provirus	1406568-1425431	33	11	0.9676	NA	7	32.4198	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089174	ENA|CP089174|CP089174.1|provirus_1547648_1634358	86711	Provirus	1547648-1634358	128	11	0.9626	NA	38	137.9461	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089174	ENA|CP089174|CP089174.1|provirus_990087_1028845	38759	Provirus	990087-1028845	57	11	0.9475	NA	15	57.9311	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089175	ENA|CP089175|CP089175.1|provirus_683933_734803	50871	Provirus	683933-734803	74	11	0.9662	NA	19	80.6336	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089175	ENA|CP089175|CP089175.1|provirus_1391030_1422534	31505	Provirus	1391030-1422534	46	11	0.9637	NA	17	51.0293	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089176	ENA|CP089176|CP089176.1|provirus_47172_84796	37625	Provirus	47172-84796	53	11	0.9772	NA	14	63.6182	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089176	ENA|CP089176|CP089176.1|provirus_716487_769643	53157	Provirus	716487-769643	74	11	0.9710	NA	22	83.3615	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089176	ENA|CP089176|CP089176.1|provirus_404811_441216	36406	Provirus	404811-441216	53	11	0.9687	NA	13	64.9400	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089176	ENA|CP089176|CP089176.1|provirus_1450162_1471652	21491	Provirus	1450162-1471652	36	11	0.9664	NA	9	34.6244	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089176	ENA|CP089176|CP089176.1|provirus_1576368_1603993	27626	Provirus	1576368-1603993	43	11	0.9551	NA	15	36.4798	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089176	ENA|CP089176|CP089176.1|provirus_1340983_1375696	34714	Provirus	1340983-1375696	53	11	0.9545	NA	15	57.9311	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089177	ENA|CP089177|CP089177.1|provirus_1553128_1594154	41027	Provirus	1553128-1594154	56	11	0.9597	NA	18	50.3966	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089178	ENA|CP089178|CP089178.1|provirus_693350_743391	50042	Provirus	693350-743391	73	11	0.9691	NA	18	86.1610	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089178	ENA|CP089178|CP089178.1|provirus_1498324_1517591	19268	Provirus	1498324-1517591	29	11	0.9680	NA	9	32.9753	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089178	ENA|CP089178|CP089178.1|provirus_309682_349237	39556	Provirus	309682-349237	47	11	0.9597	NA	17	53.8305	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089180	ENA|CP089180|CP089180.1|provirus_1356372_1390102	33731	Provirus	1356372-1390102	50	11	0.9648	NA	18	52.9846	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089180	ENA|CP089180|CP089180.1|provirus_779302_802735	23434	Provirus	779302-802735	44	11	0.9598	NA	11	32.0856	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089183	ENA|CP089183|CP089183.1|provirus_1352460_1366320	13861	Provirus	1352460-1366320	27	11	0.9581	NA	3	23.8100	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089183	ENA|CP089183|CP089183.1|provirus_1483447_1522266	38820	Provirus	1483447-1522266	52	11	0.9472	NA	18	57.3692	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089185	ENA|CP089185|CP089185.1|provirus_640813_694497	53685	Provirus	640813-694497	73	11	0.9694	NA	20	78.9559	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089185	ENA|CP089185|CP089185.1|provirus_1309175_1334419	25245	Provirus	1309175-1334419	34	11	0.9666	NA	14	33.9526	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089185	ENA|CP089185|CP089185.1|provirus_1439834_1461336	21503	Provirus	1439834-1461336	36	11	0.9635	NA	10	34.2220	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089186	ENA|CP089186|CP089186.1|provirus_427854_459478	31625	Provirus	427854-459478	46	11	0.9721	NA	17	53.8305	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089186	ENA|CP089186|CP089186.1|provirus_1512137_1561754	49618	Provirus	1512137-1561754	70	11	0.9632	NA	17	72.4731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089186	ENA|CP089186|CP089186.1|provirus_808223_840586	32364	Provirus	808223-840586	48	11	0.9501	NA	14	37.8004	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089188	ENA|CP089188|CP089188.1|provirus_994810_1015174	20365	Provirus	994810-1015174	31	11	0.9737	NA	9	32.9753	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089188	ENA|CP089188|CP089188.1|provirus_829280_873707	44428	Provirus	829280-873707	61	11	0.9720	NA	20	69.1526	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089188	ENA|CP089188|CP089188.1|provirus_1386375_1420902	34528	Provirus	1386375-1420902	45	11	0.9698	NA	12	52.1799	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089188	ENA|CP089188|CP089188.1|provirus_316404_355958	39555	Provirus	316404-355958	47	11	0.9606	NA	17	53.8305	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089188	ENA|CP089188|CP089188.1|provirus_1629214_1644158	14945	Provirus	1629214-1644158	24	11	0.9169	NA	1	11.4652	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089189	ENA|CP089189|CP089189.1|provirus_1861435_1896558	35124	Provirus	1861435-1896558	52	11	0.9739	NA	15	69.2920	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089189	ENA|CP089189|CP089189.1|provirus_1583778_1663808	80031	Provirus	1583778-1663808	118	11	0.9724	NA	36	131.1839	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089189	ENA|CP089189|CP089189.1|provirus_1443875_1462750	18876	Provirus	1443875-1462750	33	11	0.9641	NA	7	31.3419	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089189	ENA|CP089189|CP089189.1|provirus_974720_1056408	81689	Provirus	974720-1056408	112	11	0.9481	NA	27	108.4985	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089190	ENA|CP089190|CP089190.1|provirus_969392_1004620	35229	Provirus	969392-1004620	52	11	0.9701	NA	14	66.6660	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089190	ENA|CP089190|CP089190.1|provirus_1313719_1357906	44188	Provirus	1313719-1357906	60	11	0.9639	NA	22	63.9796	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089190	ENA|CP089190|CP089190.1|provirus_1575160_1589391	14232	Provirus	1575160-1589391	17	11	0.8954	NA	6	10.8834	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089191	ENA|CP089191|CP089191.1|provirus_635589_687747	52159	Provirus	635589-687747	77	11	0.9658	NA	18	86.1487	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089191	ENA|CP089191|CP089191.1|provirus_1352919_1374250	21332	Provirus	1352919-1374250	36	11	0.9656	NA	9	34.6529	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089191	ENA|CP089191|CP089191.1|provirus_774975_808536	33562	Provirus	774975-808536	51	11	0.9574	NA	15	57.9311	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089191	ENA|CP089191|CP089191.1|provirus_1479155_1506566	27412	Provirus	1479155-1506566	44	11	0.9569	NA	15	38.1896	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089194	ENA|CP089194|CP089194.1|provirus_1512094_1531360	19267	Provirus	1512094-1531360	29	11	0.9677	NA	8	31.4804	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089194	ENA|CP089194|CP089194.1|provirus_674406_725489	51084	Provirus	674406-725489	71	11	0.9667	NA	17	85.3505	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089194	ENA|CP089194|CP089194.1|provirus_1051817_1093411	41595	Provirus	1051817-1093411	56	11	0.9550	NA	10	53.1459	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089195	ENA|CP089195|CP089195.1|provirus_1393035_1429263	36229	Provirus	1393035-1429263	54	11	0.9613	NA	11	48.9354	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089195	ENA|CP089195|CP089195.1|provirus_1113945_1122461	8517	Provirus	1113945-1122461	14	11	0.9590	NA	6	13.1422	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089195	ENA|CP089195|CP089195.1|provirus_1515292_1525187	9896	Provirus	1515292-1525187	10	11	0.9469	NA	5	9.1651	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089195	ENA|CP089195|CP089195.1|provirus_1235945_1246648	10704	Provirus	1235945-1246648	13	11	0.9392	NA	1	10.1874	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089196	ENA|CP089196|CP089196.1|provirus_1499311_1518578	19268	Provirus	1499311-1518578	29	11	0.9679	NA	9	32.9753	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089196	ENA|CP089196|CP089196.1|provirus_1037522_1081517	43996	Provirus	1037522-1081517	63	11	0.9615	NA	12	57.0008	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089196	ENA|CP089196|CP089196.1|provirus_317629_357183	39555	Provirus	317629-357183	47	11	0.9605	NA	17	53.8305	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089198	ENA|CP089198|CP089198.1|provirus_638617_689030	50414	Provirus	638617-689030	71	11	0.9694	NA	22	79.3598	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089198	ENA|CP089198|CP089198.1|provirus_1415236_1436680	21445	Provirus	1415236-1436680	36	11	0.9655	NA	9	34.6244	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089198	ENA|CP089198|CP089198.1|provirus_1282305_1308769	26465	Provirus	1282305-1308769	39	11	0.9611	NA	16	36.9345	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP089317	ENA|CP089317|CP089317.1|provirus_1097432_1143609	46178	Provirus	1097432-1143609	79	11	0.9666	NA	15	70.1800	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089317	ENA|CP089317|CP089317.1|provirus_3025051_3118738	93688	Provirus	3025051-3118738	138	11	0.9650	NA	34	133.9448	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089317	ENA|CP089317|CP089317.1|provirus_2275966_2318591	42626	Provirus	2275966-2318591	51	11	0.9605	NA	8	46.9359	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089317	ENA|CP089317|CP089317.1|provirus_2741651_2782199	40549	Provirus	2741651-2782199	60	11	0.9549	NA	16	58.7642	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089317	ENA|CP089317|CP089317.1|provirus_1285255_1325100	39846	Provirus	1285255-1325100	63	11	0.9275	NA	13	49.2365	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CP089317	ENA|CP089317|CP089317.1|provirus_2509214_2540148	30935	Provirus	2509214-2540148	27	11	0.9255	NA	5	25.6711	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
