accession	seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
CP125198.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125199.1	ENA|CP125199|CP125199.1	4052	No terminal repeats	7	11	0.9932	NA	2	3.1408	MOBP1	NA
CP125200.1	ENA|CP125200|CP125200.1	3511	No terminal repeats	5	11	0.9933	NA	2	3.1408	MOBP1	NA
CP125310.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125311.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125312.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125313.1	ENA|CP125313|CP125313.1	76037	No terminal repeats	91	11	0.9943	NA	28	64.9562	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;MOBF	NA
CP125314.1	ENA|CP125314|CP125314.1	71751	No terminal repeats	86	11	0.9956	NA	28	78.0942	F_traL;MOBF;F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF000466;NF000496
CP125345.1	ENA|CP125345|CP125345.1	5596	No terminal repeats	8	11	0.9935	NA	2	4.5972	MOBP1	NA
CP125346.1	ENA|CP125346|CP125346.1	50524	No terminal repeats	61	11	0.9947	NA	6	36.9796	NA	NF000466
CP125347.1	ENA|CP125347|CP125347.1	73344	No terminal repeats	99	11	0.9945	NA	13	62.2619	F_traL;F_traE;MOBC	NA
CP125348.1	ENA|CP125348|CP125348.1	83551	No terminal repeats	99	11	0.9942	NA	18	57.9135	I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY;I_trbA;I_trbB;MOBP1;I_traI;I_traK;I_traL	NF012174
CP125349.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125350.1	ENA|CP125350|CP125350.1	217743	No terminal repeats	235	11	0.9937	NA	5	74.2416	F_traE	NF033134;NF000402
CP125365.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125366.1	ENA|CP125366|CP125366.1	34090	No terminal repeats	45	11	0.9881	NA	2	12.5064	MOBP1;I_traV	NA
CP125367.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125368.1	ENA|CP125368|CP125368.1	33985	No terminal repeats	47	11	0.9905	NA	2	12.5064	MOBP1;I_traV	NA
CP125388.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125389.1	ENA|CP125389|CP125389.1	112158	No terminal repeats	127	11	0.9900	NA	1	33.2601	NA	NA
CP125390.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125734.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125735.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125736.1	ENA|CP125736|CP125736.1	211607	No terminal repeats	247	11	0.9952	NA	57	169.3562	F_traE;F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;MOBF;F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NF012147;NF000466
CP125737.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125762.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125966.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125980.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP125981.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126082.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126083.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126097.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126137.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126323.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126324.1	ENA|CP126324|CP126324.1	86649	No terminal repeats	111	11	0.9949	NA	29	81.0268	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;MOBF	NA
CP126338.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126536.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126537.1	ENA|CP126537|CP126537.1	197210	No terminal repeats	242	11	0.9930	NA	24	73.1437	T_virB8;T_virB9;F_traG;t4cp1;MOBH;T_virB1;T_virB2;virb4;T_virB6;T_virB8;T_virB9;F_traF;F_traH;F_traG;T_virB1	NF012147
CP126538.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126623.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126624.1	ENA|CP126624|CP126624.1	228564	No terminal repeats	295	11	0.9895	NA	21	61.5746	MOBH;t4cp1;F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_traF;F_traH;F_traG;T_virB1	NA
CP126767.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126768.1	ENA|CP126768|CP126768.1	174866	No terminal repeats	201	11	0.9940	NA	7	94.9824	NA	NF000402;NF000270;NF012171;NF012178
CP126769.1	ENA|CP126769|CP126769.1	72222	No terminal repeats	88	11	0.9916	NA	15	36.2542	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806;NF012171
CP126770.1	ENA|CP126770|CP126770.1	47844	No terminal repeats	61	11	0.9936	NA	2	21.0801	NA	NA
CP126771.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126772.1	ENA|CP126772|CP126772.1	3372	No terminal repeats	5	11	0.9958	NA	4	5.9811	NA	NA
CP126773.1	ENA|CP126773|CP126773.1	2507	No terminal repeats	3	11	0.9953	NA	1	3.1262	NA	NA
CP126778.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126779.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126780.1	ENA|CP126780|CP126780.1	63589	No terminal repeats	86	11	0.9917	NA	15	39.1630	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806
CP126781.1	ENA|CP126781|CP126781.1	33826	No terminal repeats	48	11	0.9946	NA	10	28.4706	T_virB11;T_virB9;T_virB8;T_virB6;virb4;T_virB2;T_virB1	NA
CP126782.1	ENA|CP126782|CP126782.1	3750	No terminal repeats	5	11	0.9930	NA	1	2.5721	MOBQ	NA
CP126792.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126793.1	ENA|CP126793|CP126793.1	154153	No terminal repeats	188	11	0.9932	NA	22	71.1450	MOBH;t4cp1;F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traF;F_traH;F_traG;T_virB1	NF012174;NF012171;NF033085;NF000005;NF012147
CP126794.1	ENA|CP126794|CP126794.1	64366	No terminal repeats	89	11	0.9922	NA	16	41.3059	I_trbB;I_trbA;MOBP1;I_traI;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806
CP126795.1	ENA|CP126795|CP126795.1	9294	No terminal repeats	12	11	0.9950	NA	3	9.1824	MOBC	NA
CP126796.1	ENA|CP126796|CP126796.1	4995	No terminal repeats	7	11	0.9932	NA	2	3.1408	MOBP1	NA
CP126797.1	ENA|CP126797|CP126797.1	3223	No terminal repeats	5	11	0.9963	NA	4	7.7346	MOBP1	NA
CP126798.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126799.1	ENA|CP126799|CP126799.1	339331	No terminal repeats	376	11	0.9940	NA	19	219.0177	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;T_virB1;F_traH;F_traF;MOBH;t4cp1	NF012171;NF012178;NF033144
CP126800.1	ENA|CP126800|CP126800.1	109006	No terminal repeats	129	11	0.9917	NA	2	26.4364	NA	NA
CP126801.1	ENA|CP126801|CP126801.1	63437	No terminal repeats	85	11	0.9917	NA	15	39.1630	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806
CP126802.1	ENA|CP126802|CP126802.1	6165	No terminal repeats	5	11	0.9943	NA	1	3.1262	NA	NA
CP126803.1	ENA|CP126803|CP126803.1	4853	No terminal repeats	8	11	0.9945	NA	2	3.7423	MOBP1	NA
CP126807.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126808.1	ENA|CP126808|CP126808.1	63589	No terminal repeats	86	11	0.9916	NA	15	39.1630	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806
CP126809.1	ENA|CP126809|CP126809.1	61092	No terminal repeats	69	11	0.9958	NA	27	65.7040	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NF012174
CP126810.1	ENA|CP126810|CP126810.1	2495	No terminal repeats	3	11	0.9953	NA	1	3.1262	NA	NA
CP126811.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126812.1	ENA|CP126812|CP126812.1	248662	No terminal repeats	265	11	0.9940	NA	17	173.3153	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;t4cp1;MOBH;F_traF;F_traH	NF000153
CP126813.1	ENA|CP126813|CP126813.1	63589	No terminal repeats	86	11	0.9916	NA	15	39.1630	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806
CP126814.1	ENA|CP126814|CP126814.1	2495	No terminal repeats	3	11	0.9953	NA	1	3.1262	NA	NA
CP126819.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126820.1	ENA|CP126820|CP126820.1	249398	No terminal repeats	264	11	0.9940	NA	17	173.3153	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;t4cp1;MOBH;F_traF;F_traH	NF000153
CP126821.1	ENA|CP126821|CP126821.1	63589	No terminal repeats	86	11	0.9916	NA	15	39.1630	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806
CP126822.1	ENA|CP126822|CP126822.1	61092	No terminal repeats	69	11	0.9958	NA	27	65.7040	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_traN;F_traF;F_traH;F_traG;MOBF	NF012174
CP126823.1	ENA|CP126823|CP126823.1	2495	No terminal repeats	3	11	0.9953	NA	1	3.1262	NA	NA
CP126824.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126825.1	ENA|CP126825|CP126825.1	248661	No terminal repeats	267	11	0.9942	NA	17	174.6485	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;t4cp1;MOBH;F_traF;F_traH	NF000153
CP126826.1	ENA|CP126826|CP126826.1	63589	No terminal repeats	86	11	0.9922	NA	15	39.1630	I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY;I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN	NF040806
CP126827.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126828.1	ENA|CP126828|CP126828.1	248621	No terminal repeats	264	11	0.9940	NA	17	173.3153	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traH;F_traF;MOBH;t4cp1	NF000153
CP126829.1	ENA|CP126829|CP126829.1	63589	No terminal repeats	86	11	0.9916	NA	15	39.1630	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806
CP126830.1	ENA|CP126830|CP126830.1	2495	No terminal repeats	3	11	0.9953	NA	1	3.1262	NA	NA
CP126831.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126832.1	ENA|CP126832|CP126832.1	332043	No terminal repeats	372	11	0.9939	NA	19	215.2040	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;T_virB1;F_traH;F_traF;MOBH;t4cp1	NF012171;NF012178;NF033144
CP126833.1	ENA|CP126833|CP126833.1	63589	No terminal repeats	86	11	0.9916	NA	15	39.1630	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806
CP126837.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126838.1	ENA|CP126838|CP126838.1	335137	No terminal repeats	376	11	0.9939	NA	19	216.7811	F_traE;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;T_virB1;F_traH;F_traF;MOBH;t4cp1	NF012171;NF012178;NF033144;NF000270;NF033144
CP126839.1	ENA|CP126839|CP126839.1	202415	No terminal repeats	205	11	0.9937	NA	12	96.0221	MOBF;F_traB;F_traK;F_traE;F_traL	NF000402;NF000153;NF012171
CP126840.1	ENA|CP126840|CP126840.1	63589	No terminal repeats	86	11	0.9916	NA	15	39.1630	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806
CP126864.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126865.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126866.1	ENA|CP126866|CP126866.1	109040	No terminal repeats	110	11	0.9919	NA	11	40.2365	I_traK;I_trbB;I_trbA;MOBP1;I_traN;I_traO;I_traQ;traU;I_traW;I_traY;I_traI	NF033085
CP126867.1	ENA|CP126867|CP126867.1	63589	No terminal repeats	86	11	0.9916	NA	15	39.1630	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806
CP126868.1	ENA|CP126868|CP126868.1	9923	No terminal repeats	10	11	0.9934	NA	3	7.4782	MOBP1	NF012171
CP126876.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126877.1	ENA|CP126877|CP126877.1	63589	No terminal repeats	86	11	0.9916	NA	15	39.1630	I_trbB;I_trbA;MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY	NF040806
CP126882.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP126883.1	ENA|CP126883|CP126883.1	42848	No terminal repeats	55	11	0.9920	NA	8	29.4850	T_virB9;T_virB8;T_virB6;virb4;T_virB2	NA
CP127235.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP127236.1	ENA|CP127236|CP127236.1	154719	No terminal repeats	191	11	0.9952	NA	39	148.6271	F_traL;F_traE;MOBF;F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF000466
CP127237.1	ENA|CP127237|CP127237.1	205645	No terminal repeats	227	11	0.9943	NA	27	118.4817	MOBF;F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF000402;NF012178
CP127238.1	ENA|CP127238|CP127238.1	10060	No terminal repeats	13	11	0.9943	NA	4	7.8883	MOBC	NA
CP127239.1	ENA|CP127239|CP127239.1	5595	No terminal repeats	9	11	0.9935	NA	2	4.5972	MOBP1	NA
CP127333.1	ENA|CP127333|CP127333.1	45311	DTR	56	11	0.9925	NA	1	16.3556	NA	NF033115
CP127334.1	ENA|CP127334|CP127334.1	37267	No terminal repeats	53	11	0.9942	NA	3	20.1085	NA	NF000119;NF033068
CP127335.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP127336.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP127337.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP127387.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP127396.1	ENA|CP127396|CP127396.1	43225	DTR	44	11	0.9930	NA	2	9.1999	FATA_prgIc;FATA_prgL	NA
CP127397.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP127398.1	ENA|CP127398|CP127398.1	68769	No terminal repeats	77	11	0.9919	NA	2	22.1897	MOBP2	NA
CP128048.1	ENA|CP128048|CP128048.1	118188	No terminal repeats	152	11	0.9944	NA	11	81.3994	NA	NA
CP128049.1	ENA|CP128049|CP128049.1	10060	No terminal repeats	14	11	0.9945	NA	4	9.6066	MOBC	NA
CP128050.1	ENA|CP128050|CP128050.1	5596	No terminal repeats	8	11	0.9929	NA	2	4.5972	MOBP1	NA
CP128051.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP128078.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP128079.1	ENA|CP128079|CP128079.1	206805	No terminal repeats	243	11	0.9944	NA	46	133.0732	F_traV;F_traB;F_traK;F_traE;F_traL;t4cp1;MOBH;MOBF;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL;F_traF;F_traH;F_traG;T_virB1;T_virB8;T_virB9	NF012171;NF000270
CP128080.1	ENA|CP128080|CP128080.1	5596	No terminal repeats	8	11	0.9931	NA	2	4.5972	MOBP1	NA
CP128081.1	ENA|CP128081|CP128081.1	104047	No terminal repeats	130	11	0.9944	NA	10	75.4444	NA	NA
CP128188.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP128189.1	ENA|CP128189|CP128189.1	31838	No terminal repeats	43	11	0.9944	NA	2	18.3096	NA	NF033115
CP128207.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP128208.1	ENA|CP128208|CP128208.1	289843	No terminal repeats	320	11	0.9940	NA	17	207.1881	t4cp1;MOBH;F_traF;F_traH;F_trbC;F_traU;F_traW;virb4;F_traV;F_traB;F_traE	NA
CP128209.1	ENA|CP128209|CP128209.1	106493	No terminal repeats	115	11	0.9937	NA	18	71.3704	I_traE;MOBP1;I_trbB;I_trbA;I_traY;I_traW;I_traV;traU;I_traT;I_traR;I_traQ;I_traP;I_traO;I_traN;I_traL;I_traK;I_traI	NF000496
CP128210.1	ENA|CP128210|CP128210.1	99892	No terminal repeats	117	11	0.9943	NA	30	73.4023	F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL;MOBF;t4cp2	NF000005;NF012147
CP128211.1	ENA|CP128211|CP128211.1	67279	No terminal repeats	88	11	0.9940	NA	9	46.9580	T_virB1;T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9	NA
CP128212.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP128213.1	ENA|CP128213|CP128213.1	11263	No terminal repeats	20	11	0.9927	NA	3	4.8591	MOBP1;MOBP1	NA
CP128435.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP128436.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP128437.1	ENA|CP128437|CP128437.1	22710	No terminal repeats	34	11	0.9947	NA	6	24.2277	MOBP1;T_virB5;T_virB6	NF040806
CP128461.1	ENA|CP128461|CP128461.1	4802	No terminal repeats	6	11	0.9914	NA	1	4.6734	MOBV	NA
CP128462.1	ENA|CP128462|CP128462.1	5141	No terminal repeats	6	11	0.9892	NA	1	3.1574	MOBV	NA
CP128463.1	ENA|CP128463|CP128463.1	50228	No terminal repeats	63	11	0.9935	NA	5	36.6101	FATA_trsD;FATA_trsC;FATA_trsL	NF033068
CP128464.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP128605.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP128994.1	ENA|CP128994|CP128994.1	177732	No terminal repeats	186	11	0.9898	NA	2	36.2548	MOBP2	NA
CP128995.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129105.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129185.1	ENA|CP129185|CP129185.1	207983	No terminal repeats	208	11	0.9925	NA	9	59.5927	F_traE;F_traE;T_virB10;T_virB10	NF012171;NF000107;NF012171;NF000107;NF012174
CP129186.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129187.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129188.1	ENA|CP129188|CP129188.1	4822	No terminal repeats	7	11	0.9929	NA	1	3.6647	NA	NA
CP129189.1	ENA|CP129189|CP129189.1	64447	No terminal repeats	68	11	0.9926	NA	1	13.8509	NA	NF033144
CP129190.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129206.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129207.1	ENA|CP129207|CP129207.1	94032	No terminal repeats	117	11	0.9948	NA	31	78.7366	MOBF;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NA
CP129208.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129221.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129222.1	ENA|CP129222|CP129222.1	274793	No terminal repeats	309	11	0.9897	NA	3	72.4845	MOBP2;MOBP2	NA
CP129223.1	ENA|CP129223|CP129223.1	47983	No terminal repeats	51	11	0.9912	NA	3	4.3888	NA	NF033115
CP129224.1	ENA|CP129224|CP129224.1	6173	No terminal repeats	8	11	0.9955	NA	1	9.3098	NA	NA
CP129225.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129226.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129227.1	ENA|CP129227|CP129227.1	2947	No terminal repeats	5	11	0.9966	NA	2	6.6500	NA	NA
CP129228.1	ENA|CP129228|CP129228.1	2839	No terminal repeats	5	11	0.9943	NA	1	4.1842	NA	NA
CP129229.1	ENA|CP129229|CP129229.1	2530	No terminal repeats	4	11	0.9939	NA	1	2.4659	NA	NA
CP129230.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129231.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129232.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129233.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129234.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129250.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129251.1	ENA|CP129251|CP129251.1	217745	No terminal repeats	259	11	0.9939	NA	16	124.0777	T_virB9;T_virB8;T_virB6;virb4;T_virB2;T_virB1	NF000270;NF012174;NF012171;NF000005;NF012147;NF000402;NF012178
CP129338.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129357.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129358.1	ENA|CP129358|CP129358.1	42033	No terminal repeats	33	11	0.9883	NA	3	5.8668	NA	NF012167;NF040806
CP129359.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129393.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129394.1	ENA|CP129394|CP129394.1	276614	No terminal repeats	315	11	0.9903	NA	3	75.2846	MOBP2;MOBP2	NA
CP129395.1	ENA|CP129395|CP129395.1	54168	No terminal repeats	57	11	0.9932	NA	2	28.1598	MOBP2	NA
CP129397.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129398.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129399.1	ENA|CP129399|CP129399.1	2947	No terminal repeats	5	11	0.9966	NA	2	6.6500	NA	NA
CP129556.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129702.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129703.1	ENA|CP129703|CP129703.1	223796	No terminal repeats	240	11	0.9937	NA	4	76.7950	F_traE	NF033134;NF000402
CP129704.1	ENA|CP129704|CP129704.1	65499	No terminal repeats	87	11	0.9922	NA	15	39.1630	MOBP1;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;traU;I_traW;I_traY;I_trbB;I_trbA	NF040806
CP129779.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129780.1	ENA|CP129780|CP129780.1	148623	No terminal repeats	169	11	0.9947	NA	28	112.8563	F_traL;F_traE;F_traK;F_traV;virb4;F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG;MOBF	NF000402
CP129781.1	ENA|CP129781|CP129781.1	65124	No terminal repeats	87	11	0.9920	NA	15	39.1630	I_trbA;I_trbB;I_traY;I_traW;traU;I_traR;I_traQ;I_traP;I_traO;I_traN;I_traL;I_traK;I_traI;MOBP1	NF040806
CP129782.1	ENA|CP129782|CP129782.1	176350	No terminal repeats	212	11	0.9925	NA	25	81.4399	T_virB8;T_virB9;MOBH;t4cp1;F_traL;F_traE;F_traK;F_traB;F_traV;virb4;F_traW;F_traU;F_trbC;F_traF;F_traH;F_traG;T_virB1;T_virB1	NF000466;NF012174;NF012171
CP129783.1	ENA|CP129783|CP129783.1	5223	No terminal repeats	5	11	0.9925	NA	1	1.7183	MOBP1	NA
CP129875.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP129876.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP130112.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP130113.1	ENA|CP130113|CP130113.1	144841	No terminal repeats	162	11	0.9943	NA	32	85.3109	F_traE;F_traE;MOBF;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF012171
CP130114.1	ENA|CP130114|CP130114.1	2569	No terminal repeats	3	11	0.9953	NA	1	2.3861	NA	NA
CP130115.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP130116.1	ENA|CP130116|CP130116.1	144840	No terminal repeats	161	11	0.9944	NA	32	85.3109	F_traE;F_traE;MOBF;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF012171
CP130117.1	ENA|CP130117|CP130117.1	2569	No terminal repeats	3	11	0.9953	NA	2	2.3744	NA	NA
CP130126.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP130127.1	ENA|CP130127|CP130127.1	144840	No terminal repeats	161	11	0.9944	NA	32	85.3109	F_traE;F_traE;MOBF;F_traG;F_traH;F_traF;F_traN;F_traU;F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NF012171
CP130128.1	ENA|CP130128|CP130128.1	4054	No terminal repeats	7	11	0.9914	NA	1	1.6586	NA	NA
CP130129.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CP130241.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
