resolved_accession	length
CP081326.1	46154
CP081327.1	6477
CP081333.1	4718480
CP081334.1	60770
CP081335.1	54865
CP081336.1	46161
CP081489.1	4498411
CP081677.1	4992325
CP081678.1	303841
CP081679.1	86367
CP081680.1	69252
CP081681.1	12273
CP081682.1	3799
CP081683.1	2404
CP081684.1	4992324
CP081685.1	303841
CP081686.1	86361
CP081687.1	69240
CP081688.1	3802
CP081689.1	2402
CP081690.1	4992316
CP081691.1	303843
CP081692.1	86367
CP081693.1	69249
CP081694.1	29741
CP081695.1	4118
CP081696.1	3795
CP081697.1	2401
CP081698.1	4777845
CP081699.1	145356
CP081700.1	2028
CP081701.1	4886831
CP081702.1	94799
CP081703.1	57913
CP081704.1	43680
CP081705.1	2760
CP081706.1	4886833
CP081707.1	94797
CP081708.1	57912
CP081709.1	7467
CP081710.1	2762
CP081711.1	4736888
CP081712.1	74799
CP081713.1	4949012
CP081714.1	146662
CP081715.1	94674
CP081716.1	37667
CP081717.1	16403
CP081718.1	3249
CP081719.1	4949001
CP081720.1	146658
CP081721.1	94675
CP081722.1	4087
CP081723.1	3206
CP081724.1	4949018
CP081725.1	146661
CP081726.1	94676
CP081727.1	4146
CP081728.1	3213
CP081742.1	4949018
CP081743.1	146653
CP081744.1	94675
CP081745.1	18368
CP081746.1	4077
CP081747.1	3211
CP081762.1	4979402
CP081763.1	146661
CP081764.1	94675
CP081765.1	4075
CP081766.1	3215
CP081767.1	4991256
CP081768.1	303843
CP081769.1	86368
CP081770.1	69251
CP081771.1	12273
CP081772.1	7596
CP081773.1	2420
CP081774.1	4992320
CP081775.1	303839
CP081776.1	86382
CP081777.1	69251
CP081778.1	39448
CP081779.1	4094
CP081780.1	3760
CP081781.1	2402
CP081782.1	4993656
CP081783.1	303840
CP081784.1	86367
CP081785.1	69246
CP081786.1	39448
CP081787.1	6197
CP081788.1	4114
CP081789.1	3802
CP081790.1	2404
CP081791.1	4886825
CP081792.1	94799
CP081793.1	57913
CP081794.1	43671
CP081795.1	2725
CP081881.1	4915609
CP081882.1	1551
CP081883.1	3005
CP081884.1	2097
CP081885.1	59079
CP081886.1	4073
CP081887.1	114381
CP081888.1	103282
CP082045.1	4942450
CP082046.1	114224
CP082047.1	4914705
CP082048.1	93061
CP082049.1	49445
CP082050.1	13179
CP082051.1	2104
CP082052.1	1117
CP082053.1	4997713
CP082054.1	57922
CP082055.1	7430
CP082056.1	5091604
CP082057.1	128293
CP082058.1	92494
CP082059.1	75306
CP082060.1	33429
CP082061.1	9726
CP082062.1	5043071
CP082063.1	87055
CP082064.1	17997
CP082065.1	2183
CP082066.1	1564
CP082067.1	4954933
CP082068.1	130247
CP082069.1	68931
CP082070.1	10847
CP082071.1	7217
CP082072.1	1467
CP082073.1	5115175
CP082074.1	103675
CP082075.1	5004715
CP082076.1	72918
CP082077.1	4848979
CP082078.1	142433
CP082079.1	4629
CP082080.1	4834475
CP082081.1	149988
CP082082.1	124341
CP082083.1	5051478
CP082084.1	151904
CP082085.1	5189297
CP082086.1	134025
CP082087.1	4825997
CP082088.1	100023
CP082089.1	59165
CP082090.1	57134
CP082091.1	5249827
CP082092.1	22411
CP082093.1	8423
CP082094.1	5017332
CP082095.1	125677
CP082096.1	83519
CP082097.1	5174067
CP082098.1	142105
CP082099.1	12783
CP082100.1	4803092
CP082101.1	113122
CP082102.1	6662
CP082103.1	5217608
CP082104.1	137906
CP082105.1	91472
CP082106.1	1535
CP082120.1	4867020
CP082121.1	109135
CP082122.1	108374
CP082123.1	48592
CP082124.1	46161
CP082125.1	4693
CP082126.1	2088
CP082127.1	4889974
CP082128.1	136961
CP082129.1	4890086
CP082130.1	136961
CP082131.1	3684
CP082132.1	2100
CP082327.1	4667789
CP082349.1	4729845
CP082350.1	79616
CP082355.1	4764500
CP082356.1	88468
CP082357.1	4730997
CP082358.1	89947
CP082771.1	4772884
CP082772.1	5139616
CP082773.1	4903963
CP082774.1	5015239
CP082775.1	5024072
CP082776.1	4858260
CP082777.1	5124020
CP082824.1	5168688
CP082825.1	108070
CP082826.1	86164
CP082827.1	5134206
CP082828.1	139267
CP082829.1	106249
CP082830.1	32040
CP082831.1	5449567
CP082832.1	186443
CP082835.1	5490388
CP082836.1	92294
CP083263.1	4887408
CP083264.1	102134
CP083265.1	4543
CP083266.1	1865
CP083273.1	4506460
CP083274.1	4493178
CP083410.1	4641516
CP083478.1	4802011
CP083479.1	149801
CP083480.1	111656
CP083481.1	5080792
CP083482.1	5665
CP083483.1	3400
CP083484.1	224105
CP083485.1	10410
CP083486.1	94363
CP083487.1	33771
CP083488.1	3780
CP083489.1	9740
CP083490.1	43613
CP083497.1	4736048
CP083498.1	128175
CP083499.1	130873
CP083500.1	10760
CP083501.1	20638
CP083502.1	112107
CP083503.1	5176326
CP083504.1	108485
CP083505.1	1301
CP083506.1	739
CP083507.1	20432
CP083508.1	65500
CP083509.1	2969
CP083510.1	2505
CP083511.1	804
CP083512.1	5081390
CP083513.1	171115
CP083514.1	90907
CP083515.1	77013
CP083516.1	3888
CP083585.1	4796121
CP083586.1	372134
CP083587.1	94565
CP083588.1	8933
CP083610.1	4601157
CP083611.1	255611
CP083701.1	5036231
CP083702.1	120731
CP083703.1	53292
CP083704.1	58698
CP083705.1	146558
CP083706.1	89634
CP083707.1	107032
CP083708.1	2634
CP083867.1	224320
CP083868.1	6275
CP083869.1	4737147
CP083870.1	18105
CP083871.1	18002
CP083872.1	4758344
CP083873.1	6291
CP083874.1	31976
CP083875.1	170625
CP083876.1	50362
CP083877.1	4738239
CP083878.1	158041
CP083879.1	6278
CP083880.1	4738304
CP083881.1	159955
CP083882.1	50447
CP083883.1	6188
CP083884.1	164740
CP083885.1	5739
CP083886.1	4745287
CP083887.1	43140
CP083888.1	4840195
CP083889.1	219996
CP083890.1	137647
CP083891.1	6055
CP083892.1	10928
CP083893.1	11489
CP083894.1	9459
CP083895.1	6665
CP083896.1	7250
CP083990.1	4601201
CP083991.1	38572
CP083992.1	222599
CP084026.1	4689215
CP084027.1	351436
CP084055.1	4566038
CP084056.1	108559
CP084057.1	280258
CP084096.1	5211633
CP084097.1	148555
CP084205.1	4600205
CP084206.1	138128
CP084207.1	4601157
CP084208.1	139530
CP084209.1	4601169
CP084210.1	38567
CP084211.1	102745
CP084529.1	4670986
CP084683.1	4495435
CP084893.2	4651958
CP084894.2	4651960
CP084895.2	4651960
CP084896.2	4651959
CP084897.2	4651959
CP084898.2	4651958
CP084899.2	4651959
CP084900.1	4856296
CP084901.1	231954
CP084902.1	169208
CP084903.1	10227
CP084904.1	4363
CP084905.1	3174
CP084906.1	670
CP084907.1	614
CP085056.1	4892148
CP085057.1	118805
CP085058.1	92591
CP085059.1	85542
CP085060.1	4865648
CP085061.1	161701
CP085062.1	66866
CP085063.1	5190359
CP085064.1	133958
CP085065.1	94191
CP085066.1	62390
CP085067.1	2101
CP085068.1	1553
CP085069.1	4977654
CP085070.1	146039
CP085071.1	48551
CP085072.1	4073
CP085073.1	1506
CP085074.1	4965339
CP085075.1	134984
CP085076.1	100217
CP085077.1	56811
CP085078.1	4071
CP085079.1	3174
CP085183.1	4941244
CP085184.1	111696
CP085185.1	63359
CP085186.1	49706
CP085187.1	2621
CP085188.1	4915634
CP085189.1	253380
CP085190.1	93120
CP085191.1	2088
CP085488.1	4672036
CP085489.1	2941
CP085619.1	4890809
CP085620.1	128649
CP085621.1	88542
CP085622.1	4792863
CP085623.1	269592
CP085624.1	83408
CP085625.1	82796
CP085626.1	12913
CP085637.1	4763754
CP085638.1	4799936
CP085842.1	4558291
CP086220.1	5091593
CP086221.1	242460
CP086222.1	114310
CP086223.1	97374
CP086224.1	62813
CP086225.1	46161
CP086226.1	5773
CP086227.1	4018
CP086228.1	3374
CP086259.1	5268110
CP086260.1	83340
CP086261.1	75544
CP086262.1	51013
CP086263.1	7939
CP086264.1	6728
CP086334.1	5279212
CP086335.1	46161
CP086336.1	4808263
CP086337.1	46161
CP086338.1	4801969
CP086339.1	46161
CP086340.1	4830097
CP086341.1	46161
CP086342.1	4833518
CP086343.1	46161
CP086387.1	107575
CP086388.1	113047
CP086389.1	142329
CP086390.1	26903
CP086391.1	4809054
CP086392.1	65126
CP086470.1	4848881
CP086471.1	115932
CP086472.1	99465
CP086473.1	89996
CP086474.1	66616
CP086475.1	61289
CP086476.1	33826
CP086477.1	6647
CP086478.1	4773
CP086479.1	4237
CP086480.1	4848861
CP086481.1	117620
CP086482.1	99476
CP086483.1	89996
CP086484.1	66616
CP086485.1	61289
CP086486.1	33826
CP086487.1	6647
CP086488.1	4773
CP086489.1	4237
CP086490.1	4848855
CP086491.1	115986
CP086492.1	99465
CP086493.1	89996
CP086494.1	66612
CP086495.1	59963
CP086496.1	33826
CP086497.1	6647
CP086498.1	4773
CP086499.1	4237
CP086500.1	4848847
CP086501.1	117620
CP086502.1	99465
CP086503.1	90296
CP086504.1	66616
CP086505.1	61289
CP086506.1	33826
CP086507.1	6647
CP086508.1	4773
CP086509.1	4237
CP086510.1	4848845
CP086511.1	115932
CP086512.1	99465
CP086513.1	90446
CP086514.1	66616
CP086515.1	61289
CP086516.1	33826
CP086517.1	6647
CP086518.1	4773
CP086519.1	4237
CP086520.1	4667313
CP086521.1	51479
CP086522.1	47193
CP086523.1	34058
CP086524.1	4440
CP086525.1	3727
CP086526.1	4668112
CP086527.1	51479
CP086528.1	47185
CP086529.1	34058
CP086530.1	4440
CP086531.1	3727
CP086532.1	4667304
CP086533.1	51479
CP086534.1	47185
CP086535.1	34058
CP086536.1	4440
CP086537.1	3727
CP086538.1	4667313
CP086539.1	51479
CP086540.1	47514
CP086541.1	34058
CP086542.1	4440
CP086543.1	3727
CP086544.1	4667306
CP086545.1	51479
CP086546.1	47185
CP086547.1	34058
CP086548.1	4440
CP086549.1	3727
CP086556.1	4832578
CP086557.1	46161
CP086616.1	5166862
CP086617.1	138402
CP086618.1	5210076
CP086619.1	126075
CP086620.1	5231074
CP086621.1	135854
CP086622.1	5262226
CP086623.1	5248035
CP086624.1	5242232
CP086625.1	5254248
CP086626.1	5230471
CP086627.1	5199059
CP086662.1	4826332
CP086663.1	94190
CP086678.1	5063268
CP086679.1	262144
CP086680.1	46324
CP086681.1	135562
CP087110.1	4935193
CP087136.1	4630639
CP087287.1	5079315
CP087288.1	195721
CP087289.1	5269
CP087290.1	5197709
CP087291.1	174489
CP087292.1	6584
CP087293.1	5463
CP087294.1	4884398
CP087295.1	138857
CP087296.1	6810
CP087297.1	4630
CP087377.1	5230678
CP087378.1	147403
CP087564.1	4983642
CP087565.1	128397
CP087566.1	99606
CP087567.1	99008
CP087570.1	4755648
CP087571.1	151915
CP087572.1	46160
CP087573.1	3230
CP087574.1	4072
CP087575.1	5411
CP087576.1	51705
CP087577.1	6647
CP087578.1	4853432
CP087579.1	120124
CP088131.1	4785944
CP088132.1	104151
CP088133.1	62662
CP089031.1	5394199
CP089032.1	5649272
CP089033.1	92438
CP089034.1	5644599
CP089035.1	92432
CP089036.1	5470657
CP089037.1	92418
CP089134.1	244138
CP089135.1	129210
CP089136.1	91079
CP089137.1	85891
CP089138.1	33309
CP089139.1	9988
CP089140.1	3397
CP089141.1	3066
CP089142.1	4834621
CP089270.1	5646088
CP089271.1	92427
CP089272.1	5526379
CP089273.1	94596
CP089445.1	5112678
CP089446.1	129071
CP089447.1	125150
CP089930.1	4438520
CP090196.1	5111379
CP090197.1	97598
CP090212.1	4770033
CP090213.1	103545
CP090214.1	92267
CP090215.1	41043
CP090305.1	4481742
CP090306.1	85345
CP090307.1	48150
CP090308.1	46810
CP090309.1	4665
CP090448.1	4578540
CP090449.1	108576
CP090450.1	106761
CP090451.1	47849
CP090452.1	37779
CP090453.1	9533
CP090454.1	2994
CP090455.1	1506
CP090456.1	4801759
CP090457.1	152061
CP090458.1	147204
CP090459.1	46161
CP090460.1	2809
CP090461.1	2508
CP090570.1	4770033
CP090571.1	103545
CP090572.1	92267
CP090573.1	41043
CP090574.1	33309
CP090611.1	4417652
CP090612.1	420355
CP090613.1	94297
CP091016.1	5200637
CP091017.1	33843
CP091018.1	5200671
CP091019.1	33842
CP091020.1	5200667
CP091021.1	33849
CP091022.1	4865811
CP091023.1	87231
CP091024.1	5041942
CP091025.1	71807
CP091026.1	5064428
CP091027.1	111805
CP091028.1	62643
CP091029.1	4990670
CP091030.1	229883
CP091031.1	71807
CP091044.1	5104329
CP091045.1	63171
CP091046.1	79133
CP091047.1	82263
CP091065.1	4630639
CP091427.1	4839424
CP091428.1	145445
CP091429.1	40232
CP091534.1	4979149
CP091535.1	126021
CP091536.1	6647
CP091537.1	2182
CP091538.1	1552
CP091539.1	1433
CP091651.1	5171503
CP091652.1	4807201
CP091653.1	113312
CP091654.1	128535
CP091655.1	83291
CP091656.1	2460
CP091657.1	1888
CP091658.1	137247
CP091659.1	4831099
CP091660.1	46313
CP091661.1	1506
CP091662.1	4672002
CP091663.1	2101
CP091664.1	5130570
CP091665.1	5218913
CP091666.1	158848
CP091667.1	59054
CP091668.1	4677
CP091669.1	4315
CP091670.1	3133
CP091671.1	1546
CP091672.1	224424
CP091673.1	4846819
CP091674.1	18520
CP091675.1	89404
CP091676.1	3372
CP091677.1	4675244
CP091678.1	108771
CP091679.1	98126
CP091680.1	5658
CP091681.1	5448
CP091682.1	4956558
CP091683.1	4074
CP091684.1	100833
CP091685.1	86532
CP091686.1	5755
CP091687.1	5166
CP091688.1	3172
CP091689.1	4077
CP091690.1	2101
CP091691.1	4858831
CP091692.1	154958
CP091693.1	68938
CP091694.1	6222
CP091695.1	5165
CP091696.1	3461
CP091697.1	2113
CP091698.1	86740
CP091699.1	58919
CP091700.1	4868848
CP091701.1	4339
CP091702.1	2514
CP091703.1	5025350
CP091704.1	5126687
CP091705.1	100940
CP091706.1	69395
CP091707.1	58398
CP091708.1	5167
CP091709.1	4072
CP091710.1	3009
CP091711.1	2089
CP091712.1	5042053
CP091713.1	4072
CP091714.1	3374
CP091715.1	1552
CP091756.1	5016530
CP091757.1	298935
CP091758.1	40699
CP091759.1	5166
CP091760.1	4089
CP091761.1	3183
CP091773.1	4800990
CP091774.1	109860
CP091775.1	5969
CP091776.1	2028
CP091836.1	4612612
CP091837.1	76063
CP091838.1	6821
CP091839.1	4613682
CP091840.1	90138
CP091841.1	6821
CP091925.1	4751045
CP091926.1	263021
CP091927.1	101321
CP092252.1	4837230
CP092253.1	84986
CP092254.1	70864
CP092255.1	40170
CP092256.1	5249
CP092257.1	4499
CP092449.1	4627225
CP092450.1	91489
CP092451.1	46799
CP092452.1	4626473
CP092453.1	86914
CP092500.1	4454210
CP092532.1	4938966
CP092533.1	4938850
CP092534.1	4939036
CP092639.1	4581764
CP092640.1	3367
CP092645.1	99284
CP092646.1	256955
CP092647.1	5005213
CP092702.1	4641599
CP092973.1	4831556
CP092974.1	104665
CP092975.1	47360
CP092976.1	122037
CP092977.1	6200
CP092978.1	3684
CP092979.1	2959
CP092980.1	2444
CP093011.1	5219097
CP093068.1	5054078
CP093069.1	100606
CP093070.1	104757
CP093071.1	2617
CP093221.1	4700654
CP093226.1	4796017
CP093227.1	212822
CP093228.1	99719
CP093229.1	90339
CP093230.1	46161
CP093231.1	4693
CP093232.1	4087
CP093233.1	4073
CP093234.1	1071
CP093283.1	4905889
CP093284.1	248308
CP093285.1	96949
CP093286.1	46158
CP093287.1	3684
CP093288.1	2640
CP093317.1	4714922
CP093318.1	168684
CP093319.1	155161
CP093320.1	96053
CP093368.1	4734605
CP093369.1	4703583
CP093548.1	5110834
CP093549.1	89988
CP093550.1	79537
CP093551.1	53307
CP093552.1	15672
CP093919.1	4849672
CP093920.1	100291
CP093921.1	90296
CP093922.1	76841
CP093923.1	11208
CP093924.1	8335
CP093925.1	4773
CP094339.1	5162599
CP094340.1	96018
CP094341.1	74517
CP094342.1	19977
CP095083.1	5252652
CP095084.1	144934
CP095085.1	7919
CP095086.1	5205884
CP095087.1	128309
CP095088.1	4699928
CP095089.1	36460
CP095125.1	4656431
CP095126.1	99933
CP095127.1	94223
CP095128.1	64118
CP095129.1	5164
CP095130.1	3007
CP095131.1	2255
CP095137.1	5026490
CP095138.1	133313
CP095139.1	110850
CP095155.1	4964248
CP095156.1	174508
CP095157.1	5164
CP095158.1	2348
CP095159.1	1538
CP095271.1	5169503
CP095272.1	146265
CP095273.1	96608
CP095448.1	5120890
CP095449.1	107459
CP095450.1	93690
CP095451.1	92017
CP095452.1	64620
CP095453.1	8910
CP095502.1	16430
CP095503.1	11795
CP095504.1	120616
CP095505.1	5049189
CP095506.1	67746
CP095507.1	10934
CP095508.1	5632
CP095509.1	7459
CP095510.1	5186706
CP095511.1	164623
CP095512.1	5161
CP095513.1	6659
CP095514.1	5053990
CP095515.1	114242
CP095516.1	6466
CP095517.1	74109
CP095518.1	5215336
CP095519.1	117950
CP095520.1	4909815
CP095521.1	42897
CP095522.1	67887
CP095523.1	5632
CP095524.1	74318
CP095525.1	125360
CP095526.1	5189315
CP095527.1	5166
CP095528.1	72021
CP095529.1	4873837
CP095530.1	63283
CP095531.1	89276
CP095532.1	14577
CP095533.1	5071683
CP095534.1	78130
CP095535.1	148943
CP095536.1	6797
CP095537.1	15727
CP095538.1	5233040
CP095539.1	135067
CP095540.1	4880747
CP095541.1	123172
CP095795.1	4909743
CP095796.1	157953
CP095797.1	6988
CP095798.1	5029556
CP095799.1	209221
CP095800.1	158941
CP095801.1	4898174
CP095802.1	157787
CP095803.1	152101
CP095804.1	63623
CP095805.1	6647
CP095806.1	5055112
CP095807.1	195776
CP095808.1	81185
CP095809.1	6647
CP095810.1	3753
CP095816.1	5102390
CP095817.1	161639
CP095818.1	107611
CP095819.1	98288
CP095820.1	5160732
CP095821.1	197368
CP095822.1	104057
CP095823.1	5125538
CP095824.1	210044
CP095825.1	192630
CP095826.1	26357
CP095827.1	8472
CP095828.1	6647
CP095829.1	3307
CP095830.1	4957894
CP095831.1	167004
CP095832.1	146225
CP095833.1	60733
CP095834.1	6645
CP095835.1	4284
CP095836.1	5022753
CP095837.1	141467
CP095838.1	6647
CP095839.1	4657
CP095840.1	3893
CP095856.1	4850951
CP095857.1	230727
CP095858.1	107055
CP095859.1	63122
CP096110.2	5114958
CP096111.2	92396
CP096587.1	4757995
CP096588.1	262413
CP096589.1	140101
CP096830.1	4081
CP096831.1	106484
CP096832.1	3751
CP096833.1	190632
CP096834.1	4781404
CP096835.1	103920
CP096836.1	43439
CP096837.1	4837912
CP096838.1	54649
CP096902.1	5094340
CP096903.1	161535
CP096904.1	4538
CP096976.1	5155820
CP096977.1	80851
CP096978.1	75597
CP096979.1	63387
CP097001.1	5170389
CP097096.1	50185
CP097097.1	90559
CP097098.1	65305
CP097170.1	4961339
CP097171.1	124392
CP097172.1	96934
CP097181.1	4706168
CP097182.1	104161
CP097183.1	64527
CP097184.1	4145
CP097185.1	4072
CP097198.1	4915506
CP097199.1	298559
CP097200.1	73029
CP097201.1	49214
CP097202.1	13290
CP097213.1	4840702
CP097214.1	113297
CP097215.1	5152
CP097216.1	4668
CP097217.1	3555
CP097360.1	5076384
CP097361.1	145705
CP097362.1	5912
CP097363.1	4912601
CP097364.1	269522
CP097365.1	158302
CP097366.1	86293
CP097367.1	4871766
CP097368.1	122671
CP097369.1	4072
CP097370.1	4855612
CP097371.1	137735
CP097372.1	34418
CP097426.1	4727328
CP097427.1	87915
CP097428.1	70092
CP097429.1	63590
CP097430.1	4735021
CP097431.1	87915
CP097432.1	70092
CP097433.1	63589
CP097711.1	4787760
CP097712.1	188685
CP097713.1	122563
CP097714.1	95875
CP097715.1	42571
CP097716.1	5129604
CP097717.1	170336
CP097718.1	34980
CP097719.1	5174434
CP097720.1	201944
CP097721.1	4724194
CP097722.1	161324
CP097723.1	39219
CP097724.1	4787756
CP097725.1	42570
CP097726.1	4988424
CP097727.1	203859
CP097728.1	117915
CP097881.1	4609225
CP097882.1	4675188
CP097883.1	4675188
CP097884.1	4526074
CP098178.1	4812025
CP098179.1	121118
CP098180.1	100768
CP098181.1	60138
CP098182.1	52058
CP098183.1	4742047
CP098184.1	230317
CP098185.1	68250
CP098186.1	26994
CP098187.1	5156910
CP098188.1	14367
CP098189.1	8618
CP098190.1	3732
CP098191.1	91188
CP098192.1	4933942
CP098193.1	192025
CP098194.1	67947
CP098195.1	5033923
CP098196.1	114575
CP098197.1	5017919
CP098198.1	102319
CP098199.1	92797
CP098200.1	91127
CP098201.1	5160718
CP098202.1	78537
CP098203.1	4954543
CP098204.1	68004
CP098205.1	62190
CP098206.1	5072432
CP098207.1	173366
CP098208.1	131380
CP098209.1	14844
CP098210.1	5054165
CP098211.1	4838686
CP098212.1	115561
CP098213.1	15906
CP098214.1	5063976
CP098215.1	157136
CP098216.1	15385
CP098217.1	5074592
CP098218.1	41593
CP098219.1	4909078
CP098220.1	103564
CP098221.1	51273
CP098222.1	37150
CP098223.1	4841244
CP098224.1	102981
CP098225.1	57370
CP098226.1	50485
CP098227.1	4876590
CP098228.1	181896
CP135842.1	2101961
CP135824.1	1913087
CP135743.1	1895494
CP082856.1	1902597
CP135846.1	1853212
CP148895.1	1889926
CP135756.1	1879119
CP089178.1	1947180
CP135911.1	36354
CP135831.1	1850737
CP020008.1	1886450
AP018781.1	1953394
CP131718.1	2083396
CP135760.1	1847240
CP160819.1	1824312
CP135748.1	1805431
CP044497.1	1887343
LR134168.1	1860106
AP018773.1	1914722
CP160812.1	1901692
CP135746.1	1962450
CP135765.1	1923523
CP135838.1	1889696
CP135913.1	2102125
CP135837.1	2060156
OZ242473.1	2082958
CP135730.1	1871661
CP085952.1	1890662
AP024414.1	1852308
CP135739.1	1846520
CP135749.1	1845814
AP018778.1	1911890
CP167879.1	1907533
AP018777.1	1884503
CP135908.1	1813064
CP160820.1	1850644
LR134171.1	1879945
CP089168.1	1879010
CP135762.1	1854275
CP089184.1	1805078
CP008740.1	1969659
CP000057.2	1914490
AP018774.1	1810977
CP160822.1	1815833
CP135758.1	1978567
CP135834.1	1816870
CP089172.1	1897001
CP135829.1	1817583
CP089186.1	1875881
CP135752.1	1868754
CP031682.1	1908143
CP135772.1	1825103
CP007471.1	1846503
CP089169.1	1859230
CP135833.1	1852529
OZ242472.1	2085715
CP020012.1	1901558
CP135732.1	1883855
CP007805.1	1811802
CP135907.1	1847234
CP089173.1	1812698
CP131717.1	2025102
CP160813.1	1911825
CP146693.1	1830701
CP135761.1	2097245
CP089200.1	1858750
AP018776.1	1822115
CP135741.1	1916011
OZ241822.1	2059174
CP135845.1	1781707
CP031249.1	1919901
CP172084.1	1874942
AP018769.1	1819364
CP135735.1	1801476
CP020007.1	1857048
AP018770.1	1886480
CP020010.1	1823096
CP135736.1	1801447
AP018765.1	1979786
CP089194.1	1949713
CP135771.1	1972769
CP031692.1	1833864
CP135773.1	1825118
CP089174.1	1966971
CP085951.1	1834285
CP135851.1	1823583
CP135830.1	1891478
CP089188.1	1939411
AP018779.1	1791343
CP031679.1	1858630
CP135768.1	1837750
CP135826.1	1874232
CP020009.1	1886411
CP043771.1	1984979
CP135815.1	1816241
CP089187.1	1816152
LR590465.1	1876886
OZ241823.1	1954723
FQ312006.1	1981535
CP135731.1	1945082
CP131721.1	5403
CP135812.1	1900201
CP135819.1	1878239
CP135737.1	1860134
LR134490.1	1948880
CP135912.1	2042939
CP131720.1	1840521
CP031683.1	1904311
CP135778.1	1897220
CP031684.1	1811303
CP085949.1	1837149
CP135823.1	1936939
CP031687.1	1849483
OZ242537.1	2024751
CP031685.1	1833710
CP131716.1	1963515
CP089181.1	1908089
CP135744.1	1903102
CP031688.1	1840498
CP135852.1	1823492
AP018766.1	1853393
CP089196.1	1945108
CP020011.1	1823172
CP135734.1	1945062
OV040584.1	1805497
CP135910.1	1863717
AP018775.1	1818266
CP089199.1	1958399
CP135820.1	1908757
CP135774.1	1936256
CP116489.1	1812418
CP160821.1	1906308
CP002276.1	1819370
CP131725.1	2007169
AP018768.1	1805925
CP160814.1	1884791
CP135843.1	1947842
CP089170.1	1894963
CP135840.1	1940504
CP020014.1	1813865
CP089171.1	1868693
CP063127.1	1894676
OZ242526.1	1929843
CP172083.1	37582
CP135750.1	1805402
CP031239.1	1887933
CP020013.1	1901533
CP135770.1	1972993
CP135827.1	1874218
CP135780.1	1815884
CP031678.1	1858634
CP160818.1	1903238
AP018767.1	1832515
AP018772.1	1816076
CP135810.1	1865024
CP031691.1	1840062
CP135740.1	1916012
CP135751.1	1984111
CP148891.1	1851071
CP135764.1	1854188
CP031250.1	1817261
AP018782.1	1790924
CP089177.1	1874210
CP135850.1	1835002
CP031681.1	2013003
LS483480.1	1890469
CP144280.1	1938061
CP135813.1	1865165
CP135759.1	1846807
CP135839.1	1889733
CP135841.1	2090088
CP043770.1	1985844
CP148893.1	1895615
CP172082.1	1885105
CP135809.1	2017963
CP089182.1	1809683
CP165604.1	1830700
CP135814.1	1816185
CP135767.1	1858811
CP007470.1	1846259
CP089183.1	1821172
CP017811.1	1829217
CP135742.1	1917217
CP135766.1	1859061
CP135825.1	1840376
CP135763.1	1924078
LS483392.1	2044007
FQ670204.1	2007018
AP018780.1	1882642
CP089167.1	1803377
LS483411.1	1834484
CP148892.1	1851069
CP160811.1	1957403
CP135828.1	1817539
CP135784.1	1817075
CP135844.1	1822981
AP018764.1	1979718
CP089195.1	1863584
CP116490.1	1812134
CP031237.1	1804746
CP135847.1	1852767
CP135745.1	1902713
CP135817.1	1853495
CP135769.1	1799447
CP135849.1	1873594
CP135757.1	1879120
CP089176.1	1969728
CP135782.1	1801888
CP131723.1	2007792
CP135848.1	1827046
CP148894.1	1894438
CP135836.1	1835552
AP018771.1	1902536
CP031241.1	1816295
CP089192.1	1937352
CP020006.1	1857175
CP031689.1	1838740
CP135738.1	1857045
LS483438.1	1850791
CP148890.1	1851069
FQ670178.1	1985832
CP135822.1	1936946
OZ242525.1	2018243
AP022867.1	1957393
CP085950.1	5457
CP089185.1	1874229
CP089193.1	1900823
CP135821.1	1906337
CP089189.1	1995912
LS483486.1	1915356
CP131726.1	1947412
CP131719.1	2019110
CP135753.1	1868836
CP135781.1	1753596
CP002277.1	1932306
CP031236.1	1914782
CP160817.1	1836726
CP135779.1	1815840
CP160810.1	1939587
OV040719.1	1917048
CP007472.1	1887620
LS483496.1	1865137
CP031686.1	1897311
CP005967.1	1856176
CP131722.1	2044647
CP089191.1	1883036
CP089180.1	1948105
CP135914.1	1907862
CP135755.1	2033498
CP135832.1	1852542
CP135835.1	1816844
CP135816.1	1854249
CP135754.1	2011465
CP089190.1	1989060
CP043772.1	1987687
CP135808.1	1907708
LN831035.1	1890645
CP135811.1	1900159
CP031690.1	1848210
AP018783.1	1936686
CP160816.1	1851026
CP009610.1	1850897
CP031680.1	1833305
CP089197.1	1822142
CP031242.1	1860196
CP148002.1	1890764
CP148001.1	1890652
CP089198.1	1848247
CP135777.1	2024898
CP160815.1	1977871
CP135733.1	1883895
CP131724.1	1957895
CP135853.1	1919472
CP089175.1	1952002
CP020411.2	1830681
CP135776.1	2024890
CP135775.1	1937613
CP031254.1	1848871
CP089179.1	1866048
OZ242548.1	2103303
CP135818.1	1855663
AP022846.1	1809645
CP135729.1	1969921
CP094160.1	1564699
AP013356.1	1667239
CP094064.1	1557498
CP003486.1	1599280
CP042212.1	6149
CP036382.1	1563317
CP019700.1	1674002
AP017632.1	1680829
CP000241.1	1596366
CP071977.1	1667928
CP125966.1	1591696
CP036379.1	1563305
CP094052.1	1619620
CP094084.1	3779
CP094056.1	1548938
CP094155.1	3518
CP002332.1	1709911
CP053256.1	1662737
CP094143.1	1626209
LT635456.1	1667821
CP094120.1	1613185
CP130624.1	9981
CP094146.1	9339
CP071980.1	13779
CP010436.1	1667303
CP094107.1	1602783
AP012602.1	4158
